paper_id,title,year,paper_type,venue,authors,doi,arxiv,url,status,datasets,public_datasets,manufacturing_dataset_candidates,methods,tasks,domains,metrics,synthesis_candidate,candidate_match_location,synthesis_families,source_note
arxiv:2111.07677,FastFlow: Unsupervised Anomaly Detection and Localization via 2D Normalizing Flows,2021,research,arXiv,Jiawei Yu | Ye Zheng | Xiang Wang | Wei Li | Yushuang Wu | Rui Zhao | Liwei Wu,,2111.07677,https://arxiv.org/abs/2111.07677,processed,MVTec AD,MVTec AD,MVTec AD,FastFlow | Unsupervised anomaly detection | Unsupervised anomaly localization,Industrial anomaly detection | Defect segmentation,Multi-industry anomaly detection,AU-ROC,yes,note body,rule-based insertion,Papers/Research/2021 - FastFlow Unsupervised Anomaly Detection and Localization via 2D Normalizing Flows.md
sha256:130a402382d6f28756db7bd320aa38d95cfacc37e733fdc6566bba05c6a932bf,Generative Adversarial Networks for Data Augmentation in Structural Adhesive Inspection,2021,research,Applied Sciences,Ricardo Silva Peres | Miguel Azevedo | Sara Oleiro Araujo | Magno Guedes | Fabio Miranda | Jose Barata,10.3390/app11073086,,https://www.mdpi.com/2076-3417/11/7/3086,processed,Structural Adhesive Defects Dataset,Structural Adhesive Defects Dataset,Structural Adhesive Defects Dataset,GAN | StyleGAN2 | GAN-based surface defect augmentation | YOLOv4 | StyleGAN2-ADA | YOLOv4-Tiny,Adhesive bead defect detection | Object detection,Automotive manufacturing,mAP@0.15 | mAP@0.30 | mAP@0.50 | Average precision,yes,structured metadata,GAN-based generation,Papers/Research/2021 - Generative Adversarial Networks for Data Augmentation in Structural Adhesive Inspection.md
arxiv:2103.13003,Industrial Machine Tool Component Surface Defect Dataset,2021,dataset,Data in Brief,Tobias Schlagenhauf | Magnus Landwehr | Juergen Fleischer,,2103.13003,https://arxiv.org/abs/2103.13003,processed,BSData,BSData,BSData,Mask R-CNN | Faster R-CNN,Defect classification | Object detection | Defect segmentation | Wear forecasting,Metal inspection,mIoU,yes,note body,other generative synthesis,Papers/Dataset/2021 - Industrial Machine Tool Component Surface Defect Dataset.md
arxiv:2104.06064,Mixed Supervision for Surface-Defect Detection: From Weakly to Fully Supervised Learning,2021,research,arXiv,Jakob Bozic | Domen Tabernik | Danijel Skocaj,,2104.06064,https://arxiv.org/abs/2104.06064,processed,DAGM | KolektorSDD | KolektorSDD2 | Severstal Steel Defect Dataset,KolektorSDD | KolektorSDD2 | Severstal Steel Defect Dataset,KolektorSDD | KolektorSDD2 | Severstal Steel Defect Dataset,Weakly supervised learning | Supervised learning | Deep convolutional neural network | mixed supervision | dynamically balanced loss | gradient-flow adjustment | distance-transform loss weighting,Defect classification | Defect segmentation,Multi-industry anomaly detection | Metal inspection,Average precision | AU-ROC | F1-score | Accuracy,yes,note body,other generative synthesis,Papers/Research/2021 - Mixed Supervision for Surface-Defect Detection From Weakly to Fully Supervised Learning.md
doi:10.1109/tii.2021.3092372,Multiple Granularities Generative Adversarial Network for Recognition of Wafer Map Defects,2021,research,IEEE Transactions on Industrial Informatics,Jianbo Yu | Jiatong Liu,10.1109/TII.2021.3092372,,https://doi.org/10.1109/TII.2021.3092372,processed,WM-811K,WM-811K,WM-811K,Multiple Granularities Generative Adversarial Network | GAN | Data augmentation,Wafer map defect classification,Semiconductor and electronics,Accuracy | FID | F1-score,yes,structured metadata,GAN-based generation,Papers/Research/2021 - Multiple Granularities Generative Adversarial Network for Recognition of Wafer Map Defects.md
doi:10.1109/access.2021.3124525,Self-Supervised Learning for Anomaly Detection With Dynamic Local Augmentation,2021,research,IEEE Access,Seungdong Yoa | Seungjun Lee | Chiyoon Kim | Hyunwoo J. Kim,10.1109/access.2021.3124525,,https://doi.org/10.1109/access.2021.3124525,processed,MVTec AD,MVTec AD,MVTec AD,Dynamic Local Augmentation | Self-supervised learning | Data augmentation | Monte Carlo dropout uncertainty scoring | Regression-error anomaly scoring,Industrial anomaly detection,Multi-industry anomaly detection,AU-ROC,yes,note body,GAN-based generation,Papers/Research/2021 - Self-Supervised Learning for Anomaly Detection With Dynamic Local Augmentation.md
arxiv:2104.04953,SIGAN: A Novel Image Generation Method for Solar Cell Defect Segmentation and Augmentation,2021,research,arXiv,Binyi Su | Zhong Zhou | Haiyong Chen | Xiaochun Cao,,2104.04953,https://arxiv.org/abs/2104.04953,processed,EL-2019,EL-2019,EL-2019,SIGAN | GAN | Defect synthesis | Synthetic data generation | Data augmentation,Solar cell defect detection | Defect segmentation,Solar cells and photovoltaic,F1-score | FID | Precision | Recall,yes,structured metadata,GAN-based generation,Papers/Research/2021 - SIGAN A Novel Image Generation Method for Solar Cell Defect Segmentation and Augmentation.md
doi:10.1109/access.2021.3082690,Simulation-Based Data Augmentation for the Quality Inspection of Structural Adhesive With Deep Learning,2021,research,IEEE Access,Ricardo Silva Peres | Magno Guedes | Fábio Miranda | Jose Barata,10.1109/ACCESS.2021.3082690,,https://doi.org/10.1109/ACCESS.2021.3082690,processed,SEE-Q | A-SEE-Q,,,Simulation-based data augmentation | YOLOv4 | YOLOv4-Tiny | Scaled-YOLOv4,Adhesive bead defect detection,Automotive manufacturing,mAP@0.15 | mAP@0.30 | mAP@0.50 | Detection time,no,structured metadata,,Papers/Research/2021 - Simulation-Based Data Augmentation for Quality Inspection of Structural Adhesive.md
sha256:9b7bdc5bc7142edfb4c9aef06d2508b05a4af423f38fa101878ba7fbe3c3a560,Synthetic Data Generation for Steel Defect Detection and Classification Using Deep Learning,2021,research,Symmetry,Aleksei Boikov | Vladimir Payor | Roman Savelev | Alexandr Kolesnikov,10.3390/sym13071176,,https://doi.org/10.3390/sym13071176,processed,Synthetic steel defect dataset | Severstal Steel Defect Dataset,Severstal Steel Defect Dataset,Severstal Steel Defect Dataset,Procedural steel defect synthesis | Procedural generation | U-Net | Xception,Surface defect detection | Defect segmentation | Defect classification,Metal inspection,Dice score | Precision | Recall,yes,structured metadata,procedural synthesis,Papers/Research/2021 - Synthetic Data Generation for Steel Defect Detection and Classification Using Deep Learning.md
doi:10.1007/s10845-021-01738-7,Synthetic image data augmentation for fibre layup inspection processes: Techniques to enhance the data set,2021,research,Journal of Intelligent Manufacturing,Sebastian Meister | Nantwin Möller | Jan Stüve | Roger M. Groves,10.1007/s10845-021-01738-7,,https://doi.org/10.1007/s10845-021-01738-7,processed,Fiber placement laser line scan images,,,DCGAN | geometrical transformation | GAN-Train GAN-Test,Automated fiber placement inspection | Defect classification,Aerospace and composite manufacturing | Textile and fiber inspection,GAN-Train | GAN-Test,no,structured metadata,,Papers/Research/2021 - Synthetic Image Data Augmentation for Fibre Layup Inspection Processes.md
arxiv:2112.09045,The MVTec 3D-AD Dataset for Unsupervised 3D Anomaly Detection and Localization,2021,dataset,VISAPP,Paul Bergmann | Xin Jin | David Sattlegger | Carsten Steger,,2112.09045,https://www.mvtec.com/company/research/datasets,processed,MVTec3D,MVTec3D,MVTec3D,Unsupervised learning | Unsupervised anomaly detection | Unsupervised anomaly localization | GAN | Variational Autoencoder,Industrial anomaly detection | Defect segmentation,Multi-industry anomaly detection,AU-PRO | AU-ROC,yes,structured metadata,GAN-based generation,Papers/Dataset/2021 - The MVTec 3D-AD Dataset for Unsupervised 3D Anomaly Detection and Localization.md
doi:10.1007/s11263-020-01400-4,The MVTec Anomaly Detection Dataset: A Comprehensive Real-World Dataset for Unsupervised Anomaly Detection,2021,dataset,International Journal of Computer Vision,Paul Bergmann | Kilian Batzner | Michael Fauser | David Sattlegger | Carsten Steger,10.1007/s11263-020-01400-4,,https://doi.org/10.1007/s11263-020-01400-4,processed,MVTec AD,MVTec AD,MVTec AD,convolutional autoencoders | GAN | pretrained CNN feature descriptors | student-teacher anomaly detection | variation model,Surface defect detection | Defect segmentation,Multi-industry anomaly detection,AU-ROC | AU-PRO | IoU,yes,structured metadata,GAN-based generation,Papers/Dataset/2021 - The MVTec Anomaly Detection Dataset.md
doi:10.3390/sym13040706,X-SDD: A New Benchmark for Hot Rolled Steel Strip Surface Defects Detection,2021,dataset,Symmetry,Xinglong Feng | Xianwen Gao | Ling Luo,10.3390/sym13040706,,https://doi.org/10.3390/sym13040706,processed,X-SDD | NEU-CLS,Northeastern University (NEU) surface defect database | X-SDD,Northeastern University (NEU) surface defect database | X-SDD,RepVGG+SA,Defect classification | Metallic surface defect detection,Metal inspection,Accuracy | Recall | Precision | F1-score,no,none,,Papers/Dataset/2021 - X-SDD A New Benchmark for Hot Rolled Steel Strip Surface Defects Detection.md
doi:10.1109/tai.2021.3057027,ZJU-Leaper: A Benchmark Dataset for Fabric Defect Detection and a Comparative Study,2021,dataset,IEEE Transactions on Artificial Intelligence,Chenkai Zhang | Shaozhe Feng | Xulongqi Wang | Yueming Wang,10.1109/TAI.2021.3057027,,https://doi.org/10.1109/TAI.2021.3057027,processed,ZJU-Leaper,ZJU-Leaper,ZJU-Leaper,U-Net | Data augmentation | Transfer learning | Weakly supervised learning,Textile defect detection | Defect segmentation,Textile and fiber inspection,Dice score | IoU | Precision | Recall | F1-score,yes,note body,other generative synthesis,Papers/Dataset/2021 - ZJU-Leaper A Benchmark Dataset for Fabric Defect Detection and a Comparative Study.md
doi:10.1155/2022/9577096,A Model for Surface Defect Detection of Industrial Products Based on Attention Augmentation,2022,research,Computational Intelligence and Neuroscience,Gang Li | Rui Shao | Honglin Wan | Mingle Zhou | Min Li,10.1155/2022/9577096,,https://doi.org/10.1155/2022/9577096,processed,BSData | NEU-DET | RSDDs | NRSD-MN,BSData | NEU-DET,BSData | NEU-DET,Data augmentation | Multi-head attention | feature distribution smoothing block,Object detection,Metal inspection,mAP@0.50,yes,note body,other generative synthesis,Papers/Research/2022 - A Model for Surface Defect Detection of Industrial Products Based on Attention Augmentation.md
doi:10.1109/tii.2022.3168432,A New Cycle-consistent Adversarial Networks With Attention Mechanism for Surface Defect Classification With Small Samples,2022,research,IEEE Transactions on Industrial Informatics,Long Wen | You Wang | Xinyu Li,10.1109/tii.2022.3168432,,https://doi.org/10.1109/TII.2022.3168432,processed,KolektorSDD | DAGM2007,DAGM2007 | KolektorSDD,DAGM2007 | KolektorSDD,AttenCGAN | GAN | Data augmentation,Defect classification | Surface defect detection,Multi-industry anomaly detection,Accuracy | FID,yes,structured metadata,GAN-based generation,Papers/Research/2022 - A New Cycle-Consistent Adversarial Networks With Attention Mechanism for Surface Defect Classification With Small Samples.md
doi:10.1109/access.2022.3217227,A Survey of Defect Detection Applications Based on Generative Adversarial Networks,2022,review,IEEE Access,Xiangjie He | Zhengwei Chang | Linghao Zhang | Houdong Xu | Hongbo Chen | Zhongqiang Luo,10.1109/access.2022.3217227,,https://doi.org/10.1109/ACCESS.2022.3217227,processed,,,,GAN | Synthetic data generation | Data augmentation,Industrial anomaly detection,Multi-industry anomaly detection,,no,structured metadata,,Papers/Review/2022 - A Survey of Defect Detection Applications Based on Generative Adversarial Networks.md
doi:10.1109/access.2022.3169594,ALGAN: Anomaly Detection by Generating Pseudo Anomalous Data via Latent Variables,2022,research,IEEE Access,Hironori Murase | Kenji Fukumizu,10.1109/access.2022.3169594,,https://doi.org/10.1109/access.2022.3169594,processed,Magnetic Tile Defects,Magnetic Tile Defects,Magnetic Tile Defects,ALGAN | GAN | DCGAN | Synthetic data generation,Industrial anomaly detection,Metal inspection,AU-ROC,yes,structured metadata,GAN-based generation,Papers/Research/2022 - ALGAN Anomaly Detection by Generating Pseudo Anomalous Data via Latent Variables.md
doi:10.1109/tsm.2021.3134625,An Improved Capsule Network (WaferCaps) for Wafer Bin Map Classification Based on DCGAN Data Upsampling,2022,research,IEEE Transactions on Semiconductor Manufacturing,Abd Al Rahman M. Abu Ebayyeh | Sebelan Danishvar | Alireza Mousavi,10.1109/TSM.2021.3134625,,https://doi.org/10.1109/TSM.2021.3134625,processed,WM-811K,WM-811K,WM-811K,WaferCaps | DCGAN wafer map augmentation | DCGAN | Data augmentation,Wafer map defect classification | Defect classification,Semiconductor and electronics,Accuracy | Precision | Recall | F1-score,yes,note body,other generative synthesis,Papers/Research/2022 - WaferCaps for Wafer Bin Map Classification Based on DCGAN Data Upsampling.md
doi:10.1109/icumt57764.2022.9943437,Anomaly Detection for Real-World Industrial Applications: Benchmarking Recent Self-Supervised and Pretrained Methods,2022,benchmark,ICUMT,Stepan Jezek | Martin Jonak | Radim Burget | Pavel Dvorak | Milos Skotak,10.1109/icumt57764.2022.9943437,,https://doi.org/10.1109/ICUMT57764.2022.9943437,processed,MPDD2,MPDD2,MPDD2,Self-supervised learning | Transfer learning | Unsupervised anomaly detection | FastFlow | Natural Synthetic Anomalies,Industrial anomaly detection | Metallic surface defect detection,Metal inspection,AU-ROC,yes,structured metadata,other generative synthesis,Papers/Benchmark/2022 - Anomaly Detection for Real-World Industrial Applications Benchmarking Recent Self-Supervised and Pretrained Methods.md
doi:10.1007/s11263-022-01578-9,Beyond Dents and Scratches: Logical Constraints in Unsupervised Anomaly Detection and Localization,2022,dataset,International Journal of Computer Vision,Paul Bergmann | Kilian Batzner | Michael Fauser | David Sattlegger | Carsten Steger,10.1007/s11263-022-01578-9,,https://doi.org/10.1007/s11263-022-01578-9,processed,MVTec LOCO AD,MVTec LOCO AD,MVTec LOCO AD,Global Context Anomaly Detection | Unsupervised anomaly detection | Unsupervised anomaly localization | Unsupervised learning,Industrial anomaly detection | Defect segmentation,Multi-industry anomaly detection,AU-ROC | AU-PRO | Area Under Saturated Per-Region Overlap,no,none,,Papers/Dataset/2022 - Beyond Dents and Scratches Logical Constraints in Unsupervised Anomaly Detection and Localization.md
doi:10.1109/icce-taiwan55306.2022.9869278,Data Augmentation Method For Fabric Defect Detection,2022,research,IEEE International Conference on Consumer Electronics - Taiwan,Po-Hsiang Wang | Chien-Chou Lin,10.1109/icce-taiwan55306.2022.9869278,,https://doi.org/10.1109/ICCE-TAIWAN55306.2022.9869278,processed,Original Fabric Defect Datasets,,,GAN | Data augmentation | Faster R-CNN,Textile defect detection,Textile and fiber inspection,Average precision | SSIM,no,structured metadata,,Papers/Research/2022 - Data Augmentation Method for Fabric Defect Detection.md
doi:10.1109/TIM.2022.3185609,Deep Adversarial Data Augmentation for Fabric Defect Classification With Scarce Defect Data,2022,research,IEEE Transactions on Instrumentation and Measurement,Bingyu Lu | Meng Zhang | Biqing Huang,10.1109/TIM.2022.3185609,,https://doi.org/10.1109/TIM.2022.3185609,processed,ZJU-Leaper | LaceCls,ZJU-Leaper,ZJU-Leaper,Defect Transfer GAN | Data augmentation | Synthetic data generation,Textile defect detection | Defect classification,Textile and fiber inspection,Accuracy | F1-score,yes,structured metadata,GAN-based generation,Papers/Research/2022 - Deep Adversarial Data Augmentation for Fabric Defect Classification With Scarce Defect Data.md
doi:10.1088/1742-6596/2224/1/012010,Defect Detection in the Textile Industry Using Image-Based Machine Learning Methods: A Brief Review,2022,review,Journal of Physics: Conference Series,Somayeh Shahrabadi | Yusbel Castilla | Miguel Guevara | Luis G. Magalhaes | Dibet Gonzalez | Telmo Adao,10.1088/1742-6596/2224/1/012010,,https://doi.org/10.1088/1742-6596/2224/1/012010,processed,TILDA | self-made textile datasets | KTH-TIPS | Kylberg Texture | University of Hong Kong defect library,TILDA,TILDA,Deep convolutional neural network | Classical ML | Gabor filters | Principal Component Analysis | K-means clustering,Textile defect detection | Defect classification,Textile and fiber inspection,Accuracy | Precision | F1-score | AUC,yes,note body,other generative synthesis,Papers/Review/2022 - Defect Detection in the Textile Industry Using Image-Based Machine Learning Methods.md
arxiv:1066.69090,Defect Transfer GAN: Diverse Defect Synthesis for Data Augmentation,2022,research,BMVC 2022,Ruyu Wang | Sabria Hoppe | Eduardo Monari | Marco F. Huber,,1066.69090,,processed,MVTec AD | Magnetic Tile Defects | Bosch Surface Defect Inspection Dataset,Bosch Surface Defect Inspection Dataset | Magnetic Tile Defects | MVTec AD,Bosch Surface Defect Inspection Dataset | Magnetic Tile Defects | MVTec AD,Defect Transfer GAN | GAN | Synthetic data generation | Data augmentation,Defect classification | Industrial anomaly detection,Multi-industry anomaly detection,FID | LPIPS,yes,structured metadata,GAN-based generation,Papers/Research/2022 - Defect Transfer GAN Diverse Defect Synthesis for Data Augmentation.md
doi:10.1155/2022/9680519,Fabric Defect Segmentation System Based on a Lightweight GAN for Industrial Internet of Things,2022,research,Wireless Communications and Mobile Computing,Bo Li | Yongkai Zou | Rongbo Zhu | Wei Yao | Jun Wang | Shaohua Wan,10.1155/2022/9680519,,https://doi.org/10.1155/2022/9680519,processed,AITEX | enterprise fabric dataset | expanded artificial defect dataset,AITEX,AITEX,GAN | Defect synthesis | Data augmentation,Textile defect detection | Defect segmentation,Textile and fiber inspection,IoU | Accuracy | SSIM,yes,structured metadata,GAN-based generation,Papers/Research/2022 - Fabric Defect Segmentation System Based on a Lightweight GAN for Industrial Internet of Things.md
doi:10.1109/icassp43922.2022.9747311,FDSNet: An Accurate Real-Time Surface Defect Segmentation Network,2022,research,ICASSP 2022,Jian Zhang | Runwei Ding | Miaoju Ban | Tianyu Guo,10.1109/ICASSP43922.2022.9747311,,https://doi.org/10.1109/ICASSP43922.2022.9747311,processed,MSD | Magnetic Tile Defects | NEU-SEG,Magnetic Tile Defects | MSD | NEU-SEG,Magnetic Tile Defects | MSD | NEU-SEG,FDSNet | Global Context Upsampling | MobileNet,Defect segmentation | Smartphone screen glass defect detection,Glass inspection,mIoU | FPS,yes,note body,other generative synthesis,Papers/Research/2022 - FDSNet An Accurate Real-Time Surface Defect Segmentation Network.md
sha256:e85d98e581cdcb0cf8dff2af80ab64f86fafa773198c8f1a9589e0c662040b60,Identifying Defective Solar Cells in Electroluminescence Images Using Deep Feature Representations,2022,research,PeerJ Computer Science,Alaa S. Al-Waisy | Dheyaa Ahmed Ibrahim | Dilovan Asaad Zebari | Shumoos Hammadi | Hussam Mohammed | Mazin Abed Mohammed | Robertas Damasevicius,10.7717/peerj-cs.992,,https://doi.org/10.7717/peerj-cs.992,processed,ELPV Dataset,ELPV Dataset,ELPV Dataset,Deep convolutional neural network | Feature extraction | Data augmentation,Solar cell defect detection | Defect classification,Solar cells and photovoltaic,Accuracy | F1-score | Precision | Recall,yes,note body,other generative synthesis,Papers/Research/2022 - Identifying Defective Solar Cells in Electroluminescence Images Using Deep Feature Representations.md
doi:10.1007/s10845-021-01906-9,Improving Automated Visual Fault Inspection for Semiconductor Manufacturing Using a Hybrid Multistage System of Deep Neural Networks,2022,research,Journal of Intelligent Manufacturing,Tobias Schlosser | Michael Friedrich | Frederik Beuth | Danny Kowerko,10.1007/s10845-021-01906-9,,https://doi.org/10.1007/s10845-021-01906-9,processed,Semiconductor visual inspection dataset,,,Deep convolutional neural network | Feature extraction | Autoencoder-decoder data augmentation,Wafer map defect classification | Defect classification,Semiconductor and electronics,F1-score | Accuracy,no,none,,Papers/Research/2022 - Improving Automated Visual Fault Inspection for Semiconductor Manufacturing Using a Hybrid Multistage System of Deep Neural Networks.md
sha256:27c0d2bb7ac86a7e3d89c37e3f14390e978960c475f28bc2f71dd5fe0608a116,Mask-Guided Generation Method for Industrial Defect Images with Non-Uniform Structures,2022,research,Machines,Jing Wei | Zhengtao Zhang | Fei Shen | Chengkan Lv,10.3390/machines10121239,,https://doi.org/10.3390/machines10121239,processed,MVTec AD | Metal Phone Band Dataset,MVTec AD,MVTec AD,MDGAN | GAN | Synthetic data generation | CycleGAN | U-Net,Defect segmentation | Surface defect detection,Multi-industry anomaly detection,mIoU | F1-score | FID | SSIM | AU-ROC,yes,structured metadata,GAN-based generation,Papers/Research/2022 - Mask-Guided Generation Method for Industrial Defect Images with Non-Uniform Structures.md
sha256:71400e99d5a28196dd178421e4cf5112ae8647962db180f9014895b2cdc0715a,MSFT-YOLO: Improved YOLOv5 Based on Transformer for Detecting Defects of Steel Surface,2022,research,Sensors,Zexuan Guo | Chensheng Wang | Guang Yang | Zeyuan Huang | Guo Li,10.3390/s22093467,,https://doi.org/10.3390/s22093467,processed,NEU-DET,NEU-DET,NEU-DET,MSFT-YOLO | YOLOv5 | Transformers | Multi-scale feature fusion,Metallic surface defect detection | Object detection,Metal inspection,mAP | FPS,no,none,,Papers/Research/2022 - MSFT-YOLO Improved YOLOv5 Based on Transformer for Detecting Defects of Steel Surface.md
arxiv:2109.15222,Natural Synthetic Anomalies for Self-Supervised Anomaly Detection and Localization,2022,research,arXiv,Hannah M. Schlueter | Jeremy Tan | Benjamin Hou | Bernhard Kainz,,2109.15222,https://arxiv.org/abs/2109.15222,processed,MVTec AD | rCXR,MVTec AD | rCXR,MVTec AD,Natural Synthetic Anomalies | Self-supervised learning | Data augmentation,Industrial anomaly detection | Defect segmentation,Multi-industry anomaly detection | Medical imaging,AU-ROC,yes,structured metadata,other generative synthesis,Papers/Research/2022 - Natural Synthetic Anomalies for Self-Supervised Anomaly Detection and Localization.md
doi:10.1016/j.procir.2022.05.115,Procedural synthetic training data generation for AI-based defect detection in industrial surface inspection,2022,research,Procedia CIRP 107; 55th CIRP Conference on Manufacturing Systems,Ole Schmedemann | Melvin Baaß | Daniel Schoepflin | Thorsten Schüppstuhl,10.1016/j.procir.2022.05.115,,https://doi.org/10.1016/j.procir.2022.05.115,processed,Synthetic turbocharger housing defect dataset | Real-world endoscopic defect image training dataset | Real-world endoscopic defect image test dataset,,,domain randomization | physically based rendering | procedural textures | 3D defect modeling | transfer learning,defect detection | image classification | object segmentation,Automotive manufacturing | Metal inspection | Industrial visual inspection,Accuracy | Recall | Specificity,no,structured metadata,,Papers/Research/2022 - Procedural Synthetic Training Data Generation for AI-Based Defect Detection.md
sha256:ca9e95ebbc8cb226052e5460e58fff6abd97366c2d621aa507003e040c800220,Semi-Supervised Defect Detection Method with Data-Expanding Strategy for PCB Quality Inspection,2022,research,Sensors,Yusen Wan | Liang Gao | Xinyu Li | Yiping Gao,10.3390/s22207971,,https://doi.org/10.3390/s22207971,processed,DeepPCB | HRIPCB,DeepPCB | HRIPCB,DeepPCB | HRIPCB,DE-SSD | Semi-supervised learning | Data augmentation | YOLOv5 | Pseudo-labeling,PCB defect detection,Semiconductor and electronics,mAP | Precision | Recall,yes,note body,other generative synthesis,Papers/Research/2022 - Semi-Supervised Defect Detection Method with Data-Expanding Strategy for PCB Quality Inspection.md
sha256:12fae438f8e138b106917e3059bac1588e2da97e8824b53a7e1963a7c9ef80b7,SolarDK: A high-resolution urban solar panel image classification and localization dataset,2022,dataset,Tackling Climate Change with Machine Learning workshop at NeurIPS 2022,Maxim Khomiakov | Mathias Bonde Sørensen | Julius Holbech Radzikowski | Carl Anton Schmidt | Mads Andersen | Michael Riis Andersen | Jes Frellsen,,2212.01260,https://arxiv.org/abs/2212.01260,processed,SolarDK,SolarDK,SolarDK,ConvNeXt | EfficientNet | InceptionV3 | ResNet50 | DeepLabV3+,Solar panel classification | Solar panel localization | Urban semantic segmentation,Solar cells and photovoltaic,Precision | Recall | Cohen's kappa | mIoU,no,none,,Papers/Dataset/2022 - SolarDK A high-resolution urban solar panel image classification and localization dataset.md
arxiv:2207.14315,SPot-the-Difference Self-Supervised Pre-training for Anomaly Detection and Segmentation,2022,research,arXiv,Yang Zou | Jongheon Jeong | Latha Pemula | Dongqing Zhang | Onkar Dabeer,,2207.14315,http://arxiv.org/abs/2207.14315,processed,VisA | MVTec AD | ImageNet,ImageNet | MVTec AD | VisA,MVTec AD | VisA,Self-supervised learning | SmoothBlend | Data augmentation,Industrial anomaly detection | Defect segmentation,Multi-industry anomaly detection,AU-PR | AU-ROC,yes,note body,rule-based insertion,Papers/Research/2022 - SPot-the-Difference Self-Supervised Pre-training for Anomaly Detection and Segmentation.md
doi:10.1109/tim.2022.3188033,Surface Defect Detection of Heat Sink Based on Lightweight Fully Convolutional Network,2022,research,IEEE Transactions on Instrumentation and Measurement,Kaifeng Yang | Yuliang Liu | Shiwen Zhang | Jiajian Cao,10.1109/TIM.2022.3188033,,https://doi.org/10.1109/TIM.2022.3188033,processed,Heat Sink Surface Defect Dataset,Heat Sink Surface Defect Dataset,Heat Sink Surface Defect Dataset,GSLU-Net | Ghost module | U-Net,Defect segmentation | Surface defect detection,Semiconductor and electronics,Accuracy | Precision | Recall | IoU | F1-score | Inference time | Parameter count,yes,note body,GAN-based generation,Papers/Research/2022 - Surface Defect Detection of Heat Sink Based on Lightweight Fully Convolutional Network.md
doi:10.1007/s10845-020-01710-x,Synthetic data augmentation for surface defect detection and classification using deep learning,2022,research,Journal of Intelligent Manufacturing,Saksham Jain | Gautam Seth | Arpit Paruthi | Umang Soni | Girish Kumar,10.1007/s10845-020-01710-x,,https://doi.org/10.1007/s10845-020-01710-x,processed,NEU-CLS,Northeastern University (NEU) surface defect database,Northeastern University (NEU) surface defect database,GAN-based surface defect augmentation | GAN | DCGAN | Data augmentation,Defect classification | Surface defect detection,Metal inspection,Accuracy | Recall | Specificity,yes,structured metadata,GAN-based generation,Papers/Research/2022 - Synthetic Data Augmentation for Surface Defect Detection and Classification Using Deep Learning.md
doi:10.1038/s41598-022-15855-7,Using ISU-GAN for unsupervised small sample defect detection,2022,research,Scientific Reports,Yijing Guo | Linwei Zhong | Yi Qiu | Huawei Wang | Fengqiang Gao | Zongheng Wen | Choujun Zhan,10.1038/s41598-022-15855-7,,https://doi.org/10.1038/s41598-022-15855-7,processed,DAGM2007,DAGM2007,DAGM2007,ISU-GAN | GAN | Unsupervised anomaly detection,Industrial anomaly detection | Defect segmentation,Multi-industry anomaly detection,Accuracy | F1-score | SSIM,yes,structured metadata,GAN-based generation,Papers/Research/2022 - Using ISU-GAN for unsupervised small sample defect detection.md
sha256:34655142662b233874e7b22e9a9e5b17391cceb696a41b82f8db75437504204e,Video-Based Two-Stage Network for Optical Glass Sub-Millimeter Defect Detection,2022,research,AI,Han Zhou | Xiaoling Yang | Zhongqi Wang | Jie Zhang | Yinchao Du | Jiangpeng Chen | Xuezhe Zheng,10.3390/ai3030033,,https://doi.org/10.3390/ai3030033,processed,OGD-DET,,,Video-based two-stage defect detection | Color Channel Separation convolution | Clustering-based image quality evaluation,Optical glass defect detection,Glass inspection,Average precision | mAP@0.25 | mAP@0.50 | mAP@0.75 | Recall | Precision | FPS,no,none,,Papers/Research/2022 - Video-Based Two-Stage Network for Optical Glass Sub-Millimeter Defect Detection.md
doi:10.1109/tsm.2022.3159246,Wafer Defect Pattern Labeling and Recognition Using Semi-Supervised Learning,2022,research,IEEE Transactions on Semiconductor Manufacturing,Katherine Shu-Min Li | Xu-Hao Jiang | Leon Li-Yang Chen | Sying-Jyan Wang | Andrew Yi-Ann Huang | Jwu E. Chen | Hsing-Chung Liang | Chun-Lung Hsu,10.1109/TSM.2022.3159246,,https://doi.org/10.1109/TSM.2022.3159246,processed,WM-811K,WM-811K,WM-811K,Semi-supervised learning | Bagging ensemble classifier | Self-organizing map | DBSCAN wafer-map denoising | Pseudo-labeling,Wafer map defect classification,Semiconductor and electronics,Accuracy | Precision | Recall | F1-score,no,none,,Papers/Research/2022 - Wafer Defect Pattern Labeling and Recognition Using Semi-Supervised Learning.md
sha256:51e13055e62ae617098591374e2be639ef0e1498d7cc36fb3c3ee00e4d87a83d,A benchmark dataset for defect detection and classification in electroluminescence images of PV modules using semantic segmentation,2023,dataset,Systems and Soft Computing,Lawrence Pratt | Jana Mattheus | Richard Klein,10.1016/j.sasc.2023.200048,,https://doi.org/10.1016/j.sasc.2023.200048,processed,BenchmarkELimages,BenchmarkELimages,BenchmarkELimages,U-Net | PSPNet | DeepLabV3+ | Data augmentation,Solar cell defect detection | Defect segmentation,Solar cells and photovoltaic,mIoU | Recall,yes,note body,other generative synthesis,Papers/Dataset/2023 - A benchmark dataset for defect detection and classification in electroluminescence images of PV modules using semantic segmentation.md
