node_id,node_type,title,aliases,status,year,paper_type,availability,paper_key,doi,url,source_note
Methods/Emerging Methods/Semantic defect annotation,Methods,Semantic defect annotation,Rich semantic defect labels,emerging,,,,,,,Methods/Emerging Methods/Semantic defect annotation.md
Methods/Emerging Methods/SEODI,Methods,SEODI,,emerging,,,,,,,Methods/Emerging Methods/SEODI.md
Methods/Emerging Methods/SIGAN,Methods,SIGAN,Strong Identity GAN | strong identity GAN,emerging,,,,,,,Methods/Emerging Methods/SIGAN.md
Methods/Emerging Methods/SmoothBlend,Methods,SmoothBlend,SmoothBlend,emerging,,,,,,,Methods/Emerging Methods/SmoothBlend.md
Methods/Emerging Methods/Spatial-aware Graph Reasoning Module,Methods,Spatial-aware Graph Reasoning Module,SGRM | Spatial-aware Graph Attention Network | SGAT,emerging,,,,,,,Methods/Emerging Methods/Spatial-aware Graph Reasoning Module.md
Methods/Emerging Methods/TFLA-Net,Methods,TFLA-Net,TLFA-Net | Three-Layer Feature Aggregation Network,emerging,,,,,,,Methods/Emerging Methods/TFLA-Net.md
Methods/Emerging Methods/ToCoAD,Methods,ToCoAD,Two-Stage Contrastive Learning for Industrial Anomaly Detection,emerging,,,,,,,Methods/Emerging Methods/ToCoAD.md
Methods/Emerging Methods/Total reflection grazing incidence combined lighting,Methods,Total reflection grazing incidence combined lighting,TR-OD combined light source | total reflection-grazing incidence lighting,emerging,,,,,,,Methods/Emerging Methods/Total reflection grazing incidence combined lighting.md
Methods/Emerging Methods/Video-based two-stage defect detection,Methods,Video-based two-stage defect detection,coarse-to-fine video defect detection,emerging,,,,,,,Methods/Emerging Methods/Video-based two-stage defect detection.md
Methods/Emerging Methods/ViT-based wafer map augmentation,Methods,ViT-based wafer map augmentation,ViT-based wafer map augmentation,emerging,,,,,,,Methods/Emerging Methods/ViT-based wafer map augmentation.md
Methods/Emerging Methods/WaferCaps,Methods,WaferCaps,,emerging,,,,,,,Methods/Emerging Methods/WaferCaps.md
Methods/Emerging Methods/WaPIRL,Methods,WaPIRL,WaPIRL,emerging,,,,,,,Methods/Emerging Methods/WaPIRL.md
Methods/Emerging Methods/Weibull texture features,Methods,Weibull texture features,Weibull image statistics | Weibull features,emerging,,,,,,,Methods/Emerging Methods/Weibull texture features.md
Methods/Emerging Methods/WGAN-GP solar cell augmentation,Methods,WGAN-GP solar cell augmentation,,emerging,,,,,,,Methods/Emerging Methods/WGAN-GP solar cell augmentation.md
Methods/Emerging Methods/YOLOv11-RKNN edge deployment,Methods,YOLOv11-RKNN edge deployment,YOLOv11-RKNN | RKNN YOLOv11 deployment,emerging,,,,,,,Methods/Emerging Methods/YOLOv11-RKNN edge deployment.md
Methods/Feature Extraction/Adjacent evaluation completed local binary patterns,Methods,Adjacent evaluation completed local binary patterns,AECLBP | AECLBPs | adjacent evaluation CLBP | adjacent evaluation completed local binary pattern,stable,,,,,,,Methods/Feature Extraction/Adjacent evaluation completed local binary patterns.md
Methods/Feature Extraction/Crossmodal Feature Mapping,Methods,Crossmodal Feature Mapping,Crossmodal Feature Mapping,emerging,,,,,,,Methods/Feature Extraction/Crossmodal Feature Mapping.md
Methods/Feature Extraction/Feature extraction,Methods,Feature extraction,Feature extraction,,,,,,,,Methods/Feature Extraction/Feature extraction.md
Methods/Feature Extraction/Global Context Upsampling,Methods,Global Context Upsampling,GCU | GCU module,,,,,,,,Methods/Feature Extraction/Global Context Upsampling.md
Methods/Feature Extraction/Group pyramid pooling,Methods,Group pyramid pooling,GPP,,,,,,,,Methods/Feature Extraction/Group pyramid pooling.md
Methods/Feature Extraction/Hard negative mining,Methods,Hard negative mining,,,,,,,,,Methods/Feature Extraction/Hard negative mining.md
Methods/Feature Extraction/Multilevel feature fusion network,Methods,Multilevel feature fusion network,MFN | multilevel-feature fusion network | multi-level feature fusion network,,,,,,,,Methods/Feature Extraction/Multilevel feature fusion network.md
Methods/Feature Extraction/NCA-ReliefF Matched Index feature selection,Methods,NCA-ReliefF Matched Index feature selection,NRMI | NCA-ReliefF Matched Index,stable,,,,,,,Methods/Feature Extraction/NCA-ReliefF Matched Index feature selection.md
Methods/Feature Extraction/Phase-Invariant Feature Module,Methods,Phase-Invariant Feature Module,PIFM,,,,,,,,Methods/Feature Extraction/Phase-Invariant Feature Module.md
Methods/Feature Extraction/Photometric stereo,Methods,Photometric stereo,photometric-stereo imaging,,,,,,,,Methods/Feature Extraction/Photometric stereo.md
Methods/Feature Extraction/Reference-based PCB inspection,Methods,Reference-based PCB inspection,,,,,,,,,Methods/Feature Extraction/Reference-based PCB inspection.md
Methods/Feature Extraction/Rotation and scale invariant wafer map features,Methods,Rotation and scale invariant wafer map features,,,,,,,,,Methods/Feature Extraction/Rotation and scale invariant wafer map features.md
Methods/Feature Extraction/Stroboscopic Illuminant Image Acquisition,Methods,Stroboscopic Illuminant Image Acquisition,SIIA | Strobe Illuminant Imaging Method,,,,,,,,Methods/Feature Extraction/Stroboscopic Illuminant Image Acquisition.md
Methods/Feature Extraction/Taylor Series Channel Mixer,Methods,Taylor Series Channel Mixer,TSCM,,,,,,,,Methods/Feature Extraction/Taylor Series Channel Mixer.md
Methods/Models/Anomaly Detection Models/3DSR,Methods,3DSR,3DSR,emerging,,,,,,,Methods/Models/Anomaly Detection Models/3DSR.md
Methods/Models/Anomaly Detection Models/Anomaly Detection Models,Methods,Anomaly Detection Models,,,,,,,,,Methods/Models/Anomaly Detection Models/Anomaly Detection Models.md
Methods/Models/Anomaly Detection Models/CDO,Methods,CDO,Collaborative Discrepancy Optimization | Collaborative Discrepancy Optimization for image anomaly localization,stable,,,,,,,Methods/Models/Anomaly Detection Models/CDO.md
Methods/Models/Anomaly Detection Models/DBFAD,Methods,DBFAD,Distillation-Based Fabric Anomaly Detection | Distillation-based fabric anomaly detection,emerging,,,,,,,Methods/Models/Anomaly Detection Models/DBFAD.md
Methods/Models/Anomaly Detection Models/DiAD,Methods,DiAD,DiAD,emerging,,,,,,,Methods/Models/Anomaly Detection Models/DiAD.md
Methods/Models/Anomaly Detection Models/FastFlow,Methods,FastFlow,FastFlow,emerging,,,,,,,Methods/Models/Anomaly Detection Models/FastFlow.md
Methods/Models/Anomaly Detection Models/FMR-Net,Methods,FMR-Net,Feature Memory Rearrangement Network | Feature Memory Rearrangement Network for textured surface defects,stable,,,,,,,Methods/Models/Anomaly Detection Models/FMR-Net.md
Methods/Models/Anomaly Detection Models/MSFlow,Methods,MSFlow,MSFlow,emerging,,,,,,,Methods/Models/Anomaly Detection Models/MSFlow.md
Methods/Models/Anomaly Detection Models/Multi-3D-Memory,Methods,Multi-3D-Memory,Multi-3D-Memory,emerging,,,,,,,Methods/Models/Anomaly Detection Models/Multi-3D-Memory.md
Methods/Models/Anomaly Detection Models/OmniAL,Methods,OmniAL,OmniAL,emerging,,,,,,,Methods/Models/Anomaly Detection Models/OmniAL.md
Methods/Models/Anomaly Detection Models/RD4AD,Methods,RD4AD,Reverse Distillation from One-Class Embedding for Anomaly Detection | Reverse Distillation for Anomaly Detection,emerging,,,,,,,Methods/Models/Anomaly Detection Models/RD4AD.md
Methods/Models/Anomaly Detection Models/STDAN,Methods,STDAN,Self-Supervised Texture-Decomposition and Defect Amplification Network | Texture Conditioned GAN Based Self Supervised Framework,,,,,,,,Methods/Models/Anomaly Detection Models/STDAN.md
Methods/Models/Anomaly Detection Models/Unsupervised anomaly detection,Methods,Unsupervised anomaly detection,,,,,,,,,Methods/Models/Anomaly Detection Models/Unsupervised anomaly detection.md
Methods/Models/Anomaly Detection Models/Unsupervised anomaly localization,Methods,Unsupervised anomaly localization,,,,,,,,,Methods/Models/Anomaly Detection Models/Unsupervised anomaly localization.md
Methods/Models/Classical ML/Classical ML,Methods,Classical ML,,,,,,,,,Methods/Models/Classical ML/Classical ML.md
Methods/Models/Classical ML/Decision tree,Methods,Decision tree,tree-structured classifier,,,,,,,,Methods/Models/Classical ML/Decision tree.md
Methods/Models/Classical ML/Random forest,Methods,Random forest,random forest | Random Forest,,,,,,,,Methods/Models/Classical ML/Random forest.md
Methods/Models/Classical ML/Support vector machine,Methods,Support vector machine,SVM,,,,,,,,Methods/Models/Classical ML/Support vector machine.md
Methods/Models/Classical ML/XGBoost,Methods,XGBoost,Extreme Gradient Boosting,,,,,,,,Methods/Models/Classical ML/XGBoost.md
Methods/Models/Computer Vision Models/ADMF-Net,Methods,ADMF-Net,Attention-based Dual-Branch Modal Fusion Network,,,,,,,,Methods/Models/Computer Vision Models/ADMF-Net.md
Methods/Models/Computer Vision Models/CE-SGNet,Methods,CE-SGNet,Context-Enhanced Network with Spatial-Aware Graph | CE-SG defect detection network,,,,,,,,Methods/Models/Computer Vision Models/CE-SGNet.md
Methods/Models/Computer Vision Models/Co-DETR,Methods,Co-DETR,Collaborative Hybrid Assignments Training for DETR | Co-DETR,,,,,,,,Methods/Models/Computer Vision Models/Co-DETR.md
Methods/Models/Computer Vision Models/Computer Vision Models,Methods,Computer Vision Models,,,,,,,,,Methods/Models/Computer Vision Models/Computer Vision Models.md
Methods/Models/Computer Vision Models/ConvNeXt,Methods,ConvNeXt,,,,,,,,,Methods/Models/Computer Vision Models/ConvNeXt.md
Methods/Models/Computer Vision Models/DCN+,Methods,DCN+,improved DCN | CarDD DCN+,,,,,,,,Methods/Models/Computer Vision Models/DCN+.md
Methods/Models/Computer Vision Models/Deep convolutional neural network,Methods,Deep convolutional neural network,DCNN,,,,,,,,Methods/Models/Computer Vision Models/Deep convolutional neural network.md
Methods/Models/Computer Vision Models/Defect Detection Network,Methods,Defect Detection Network,DDN | defect detection network,,,,,,,,Methods/Models/Computer Vision Models/Defect Detection Network.md
Methods/Models/Computer Vision Models/DispNet,Methods,DispNet,,,,,,,,,Methods/Models/Computer Vision Models/DispNet.md
Methods/Models/Computer Vision Models/DY-YOLO,Methods,DY-YOLO,Dynamic YOLO for smartphone screen surface defect detection,,,,,,,,Methods/Models/Computer Vision Models/DY-YOLO.md
Methods/Models/Computer Vision Models/EDDN,Methods,EDDN,end-to-end defect detection network,,,,,,,,Methods/Models/Computer Vision Models/EDDN.md
Methods/Models/Computer Vision Models/EfficientNet,Methods,EfficientNet,EfficientNetB0 | EfficientNet-B0,,,,,,,,Methods/Models/Computer Vision Models/EfficientNet.md
Methods/Models/Computer Vision Models/Faster R-CNN,Methods,Faster R-CNN,Faster RCNN,,,,,,,,Methods/Models/Computer Vision Models/Faster R-CNN.md
Methods/Models/Computer Vision Models/FCOS,Methods,FCOS,Fully Convolutional One-Stage Object Detection,,,,,,,,Methods/Models/Computer Vision Models/FCOS.md
Methods/Models/Computer Vision Models/GBH-YOLOv5,Methods,GBH-YOLOv5,Ghost convolution with BottleneckCSP and tiny target prediction head YOLOv5,,,,,,,,Methods/Models/Computer Vision Models/GBH-YOLOv5.md
Methods/Models/Computer Vision Models/GLIP,Methods,GLIP,Grounded Language-Image Pre-training,,,,,,,,Methods/Models/Computer Vision Models/GLIP.md
Methods/Models/Computer Vision Models/GroundingDINO,Methods,GroundingDINO,Grounding DINO,,,,,,,,Methods/Models/Computer Vision Models/GroundingDINO.md
Methods/Models/Computer Vision Models/IDD-Net,Methods,IDD-Net,Industrial Defect Detection Network,,,,,,,,Methods/Models/Computer Vision Models/IDD-Net.md
Methods/Models/Computer Vision Models/InceptionV3,Methods,InceptionV3,Inception V3 | Inception-v3,,,,,,,,Methods/Models/Computer Vision Models/InceptionV3.md
Methods/Models/Computer Vision Models/IncepViTH-Net,Methods,IncepViTH-Net,Inception Vision Transformer and Harmonic fusion Network | Inception Vision Transformer and Harmonic Fusion Network,,,,,,,,Methods/Models/Computer Vision Models/IncepViTH-Net.md
Methods/Models/Computer Vision Models/LeNet-5,Methods,LeNet-5,,,,,,,,,Methods/Models/Computer Vision Models/LeNet-5.md
Methods/Models/Computer Vision Models/Mask R-CNN,Methods,Mask R-CNN,Mask RCNN,,,,,,,,Methods/Models/Computer Vision Models/Mask R-CNN.md
Methods/Models/Computer Vision Models/MobileNet,Methods,MobileNet,MobileNetV1 | MobileNetV2,,,,,,,,Methods/Models/Computer Vision Models/MobileNet.md
Methods/Models/Computer Vision Models/MSFT-YOLO,Methods,MSFT-YOLO,MSFT-YOLO,emerging,,,,,,,Methods/Models/Computer Vision Models/MSFT-YOLO.md
Methods/Models/Computer Vision Models/Multi-scale feature fusion and CRA block,Methods,Multi-scale feature fusion and CRA block,Multi-scale feature fusion and CRA block,emerging,,,,,,,Methods/Models/Computer Vision Models/Multi-scale feature fusion and CRA block.md
Methods/Models/Computer Vision Models/Multipath VGG19,Methods,Multipath VGG19,MVGG19,,,,,,,,Methods/Models/Computer Vision Models/Multipath VGG19.md
Methods/Models/Computer Vision Models/Parallel attention-residual CNN,Methods,Parallel attention-residual CNN,PAR-CNN | Parallel Attention Residual-Convolutional Neural Network,stable,,,,,,,Methods/Models/Computer Vision Models/Parallel attention-residual CNN.md
Methods/Models/Computer Vision Models/PSRT50,Methods,PSRT50,PSO based ResNet50 | PSO-ResNet50,,,,,,,,Methods/Models/Computer Vision Models/PSRT50.md
Methods/Models/Computer Vision Models/RBCNN,Methods,RBCNN,reference-based convolutional neural network,,,,,,,,Methods/Models/Computer Vision Models/RBCNN.md
Methods/Models/Computer Vision Models/RepVGG+SA,Methods,RepVGG+SA,RepVGG_B3g4+SA | RepVGG with spatial attention,emerging,,,,,,,Methods/Models/Computer Vision Models/RepVGG+SA.md
Methods/Models/Computer Vision Models/Residual network,Methods,Residual network,ResNet | Residual neural network | residual learning framework,,,,,,,,Methods/Models/Computer Vision Models/Residual network.md
Methods/Models/Computer Vision Models/ResNet-18,Methods,ResNet-18,ResNet18 | 18-layer ResNet,,,,,,,,Methods/Models/Computer Vision Models/ResNet-18.md
Methods/Models/Computer Vision Models/ResNet152V2,Methods,ResNet152V2,ResNet-152V2 | ResNet152 V2,,,,,,,,Methods/Models/Computer Vision Models/ResNet152V2.md
Methods/Models/Computer Vision Models/ResNet50,Methods,ResNet50,ResNet-50,,,,,,,,Methods/Models/Computer Vision Models/ResNet50.md
Methods/Models/Computer Vision Models/RT-DETR,Methods,RT-DETR,Real-Time Detection Transformer,,,,,,,,Methods/Models/Computer Vision Models/RT-DETR.md
Methods/Models/Computer Vision Models/SceneFlowNet,Methods,SceneFlowNet,,,,,,,,,Methods/Models/Computer Vision Models/SceneFlowNet.md
Methods/Models/Computer Vision Models/Single Shot MultiBox Detector,Methods,Single Shot MultiBox Detector,SSD,,,,,,,,Methods/Models/Computer Vision Models/Single Shot MultiBox Detector.md
Methods/Models/Computer Vision Models/TMFFNet,Methods,TMFFNet,Temporal Multi-Feature Fusion Network | Thermal-Sequence Guided Dual-Branch Network,,,,,,,,Methods/Models/Computer Vision Models/TMFFNet.md
Methods/Models/Computer Vision Models/VGG-16,Methods,VGG-16,VGG16 | VGG-16 network,stable,,,,,,,Methods/Models/Computer Vision Models/VGG-16.md
Methods/Models/Computer Vision Models/VGG19,Methods,VGG19,,,,,,,,,Methods/Models/Computer Vision Models/VGG19.md
Methods/Models/Computer Vision Models/Vision-language object detection,Methods,Vision-language object detection,grounded object detection | open-vocabulary object detection,,,,,,,,Methods/Models/Computer Vision Models/Vision-language object detection.md
Methods/Models/Computer Vision Models/WM-PeleeNet,Methods,WM-PeleeNet,Wafer Map PeleeNet | WM PeleeNet,,,,,,,,Methods/Models/Computer Vision Models/WM-PeleeNet.md
Methods/Models/Computer Vision Models/Xception,Methods,Xception,,,,,,,,,Methods/Models/Computer Vision Models/Xception.md
Methods/Models/Computer Vision Models/YOLO-ACF,Methods,YOLO-ACF,YOLO adaptive complementary fusion | Adaptive Complementary Fusion YOLO,,,,,,,,Methods/Models/Computer Vision Models/YOLO-ACF.md
Methods/Models/Computer Vision Models/YOLO-AL,Methods,YOLO-AL,You Only Look Once-Aluminum,,,,,,,,Methods/Models/Computer Vision Models/YOLO-AL.md
Methods/Models/Computer Vision Models/YOLO-attention,Methods,YOLO-attention,YOLO-attention,emerging,,,,,,,Methods/Models/Computer Vision Models/YOLO-attention.md
Methods/Models/Computer Vision Models/YOLO-DSC,Methods,YOLO-DSC,YOLO with distribution shifting convolution,,,,,,,,Methods/Models/Computer Vision Models/YOLO-DSC.md
Methods/Models/Computer Vision Models/YOLOv10,Methods,YOLOv10,YOLO v10,,,,,,,,Methods/Models/Computer Vision Models/YOLOv10.md
Methods/Models/Computer Vision Models/YOLOv11,Methods,YOLOv11,YOLOv11,,,,,,,,Methods/Models/Computer Vision Models/YOLOv11.md
Methods/Models/Computer Vision Models/YOLOv4,Methods,YOLOv4,YOLO v4,,,,,,,,Methods/Models/Computer Vision Models/YOLOv4.md
Methods/Models/Computer Vision Models/YOLOv5,Methods,YOLOv5,YOLO v5,,,,,,,,Methods/Models/Computer Vision Models/YOLOv5.md
Methods/Models/Computer Vision Models/YOLOv5 with global attention and partial convolution,Methods,YOLOv5 with global attention and partial convolution,YOLOv5-GAM-PConv | CSDD proposed detector,,,,,,,,Methods/Models/Computer Vision Models/YOLOv5 with global attention and partial convolution.md
Methods/Models/Computer Vision Models/YOLOv5_zc,Methods,YOLOv5_zc,YOLOv5-zc | Improved YOLOv5 with CBAM and data augmentation,,,,,,,,Methods/Models/Computer Vision Models/YOLOv5_zc.md
Methods/Models/Computer Vision Models/YOLOv6-L6,Methods,YOLOv6-L6,YOLOv6-L6 | YOLOv6,,,,,,,,Methods/Models/Computer Vision Models/YOLOv6-L6.md
Methods/Models/Computer Vision Models/YOLOv7,Methods,YOLOv7,YOLO v7,,,,,,,,Methods/Models/Computer Vision Models/YOLOv7.md
Methods/Models/Computer Vision Models/YOLOv8,Methods,YOLOv8,YOLO v8,,,,,,,,Methods/Models/Computer Vision Models/YOLOv8.md
Methods/Models/Generative Models/ControlNet,Methods,ControlNet,,,,,,,,,Methods/Models/Generative Models/ControlNet.md
Methods/Models/Generative Models/DCGAN,Methods,DCGAN,Deep convolutional GAN,,,,,,,,Methods/Models/Generative Models/DCGAN.md
Methods/Models/Generative Models/Diffusion models,Methods,Diffusion models,Diffusion models,promoted,,,,,,,Methods/Models/Generative Models/Diffusion models.md
Methods/Models/Generative Models/GAN,Methods,GAN,Generative adversarial network | Generative adversarial networks,,,,,,,,Methods/Models/Generative Models/GAN.md
Methods/Models/Generative Models/Generative Models,Methods,Generative Models,,,,,,,,,Methods/Models/Generative Models/Generative Models.md
Methods/Models/Generative Models/Multiple Granularities Generative Adversarial Network,Methods,Multiple Granularities Generative Adversarial Network,Multiple Granularities Generative Adversarial Network,emerging,,,,,,,Methods/Models/Generative Models/Multiple Granularities Generative Adversarial Network.md
Methods/Models/Generative Models/OCR-GAN,Methods,OCR-GAN,OCR-GAN | Omni-Frequency Channel-Selection Reconstruction | Omni-frequency Channel-selection Reconstruction,emerging,,,,,,,Methods/Models/Generative Models/OCR-GAN.md
Methods/Models/Generative Models/Pix2Pix,Methods,Pix2Pix,Pix2Pix GAN,,,,,,,,Methods/Models/Generative Models/Pix2Pix.md
Methods/Models/Generative Models/StyleGAN2,Methods,StyleGAN2,,,,,,,,,Methods/Models/Generative Models/StyleGAN2.md
Methods/Models/Generative Models/Variational Autoencoder,Methods,Variational Autoencoder,VAE | Variational Autoencoders,,,,,,,,Methods/Models/Generative Models/Variational Autoencoder.md
Methods/Models/Models,Methods,Models,,,,,,,,,Methods/Models/Models.md
Methods/Models/Neural Networks/Depthwise separable convolution,Methods,Depthwise separable convolution,,,,,,,,,Methods/Models/Neural Networks/Depthwise separable convolution.md
Methods/Models/Neural Networks/Neural Networks,Methods,Neural Networks,,,,,,,,,Methods/Models/Neural Networks/Neural Networks.md
Methods/Models/Segmentation Models/DeepLabV3+,Methods,DeepLabV3+,DeepLabV3Plus | DeepLab V3+,,,,,,,,Methods/Models/Segmentation Models/DeepLabV3+.md
Methods/Models/Segmentation Models/FDSNet,Methods,FDSNet,Fast surface Defect Segmentation Network | FDSNet,,,,,,,,Methods/Models/Segmentation Models/FDSNet.md
Methods/Models/Segmentation Models/FPN,Methods,FPN,Feature Pyramid Network,,,,,,,,Methods/Models/Segmentation Models/FPN.md
Methods/Models/Segmentation Models/GSLU-Net,Methods,GSLU-Net,Ghost-SE light U-Net | Ghost-SE Light U-Net,,,,,,,,Methods/Models/Segmentation Models/GSLU-Net.md
Methods/Models/Segmentation Models/IndustrialNet,Methods,IndustrialNet,IndustrialNet-L2 | IndustrialNet-Cosine | IndustrialNet-Proto | IndustrialNet-Merge,stable,,,,,,,Methods/Models/Segmentation Models/IndustrialNet.md
Methods/Models/Segmentation Models/LMFF,Methods,LMFF,Lightweight Multiscale Feature Fusion Network | Lightweight Multi-scale Feature Fusion Network,,,,,,,,Methods/Models/Segmentation Models/LMFF.md
Methods/Models/Segmentation Models/MCuePush U-Net,Methods,MCuePush U-Net,MCuePushU | MCue Push U-Net,,,,,,,,Methods/Models/Segmentation Models/MCuePush U-Net.md
Methods/Models/Segmentation Models/PGA-Net,Methods,PGA-Net,Pyramid Feature Fusion and Global Context Attention Network,stable,,,,,,,Methods/Models/Segmentation Models/PGA-Net.md
Methods/Models/Segmentation Models/PSPNet,Methods,PSPNet,Pyramid Scene Parsing Network,,,,,,,,Methods/Models/Segmentation Models/PSPNet.md
Methods/Models/Segmentation Models/Segmentation Models,Methods,Segmentation Models,,,,,,,,,Methods/Models/Segmentation Models/Segmentation Models.md
Methods/Models/Segmentation Models/Segmentation-decision network,Methods,Segmentation-decision network,segmentation and decision network | two-stage segmentation decision network,,,,,,,,Methods/Models/Segmentation Models/Segmentation-decision network.md
Methods/Models/Segmentation Models/U-Net,Methods,U-Net,3D U-Net,,,,,,,,Methods/Models/Segmentation Models/U-Net.md
Methods/Models/Sequence and Language Models/Sequence and Language Models,Methods,Sequence and Language Models,,,,,,,,,Methods/Models/Sequence and Language Models/Sequence and Language Models.md
Methods/Models/Sequence and Language Models/Sequence-to-sequence recurrent network,Methods,Sequence-to-sequence recurrent network,Seq2seq recurrent network | Seq2seq RNN,,,,,,,,Methods/Models/Sequence and Language Models/Sequence-to-sequence recurrent network.md
Methods/Models/Sequence and Language Models/Vision-language prompt learning,Methods,Vision-language prompt learning,Vision-language prompt learning,emerging,,,,,,,Methods/Models/Sequence and Language Models/Vision-language prompt learning.md
Methods/Models/Transformers/BERT,Methods,BERT,Bidirectional Encoder Representations from Transformers | BERTBASE | BERTLARGE,,,,,,,,Methods/Models/Transformers/BERT.md
Methods/Models/Transformers/Masked language modeling,Methods,Masked language modeling,MLM | masked LM,,,,,,,,Methods/Models/Transformers/Masked language modeling.md
Methods/Models/Transformers/Multi-head attention,Methods,Multi-head attention,multi-headed self-attention | scaled dot-product multi-head attention,,,,,,,,Methods/Models/Transformers/Multi-head attention.md
Methods/Models/Transformers/Next sentence prediction,Methods,Next sentence prediction,NSP,,,,,,,,Methods/Models/Transformers/Next sentence prediction.md
Methods/Models/Transformers/Positional encoding,Methods,Positional encoding,sinusoidal positional encoding | positional embeddings,,,,,,,,Methods/Models/Transformers/Positional encoding.md
Methods/Models/Transformers/Self-attention,Methods,Self-attention,intra-attention,,,,,,,,Methods/Models/Transformers/Self-attention.md
Methods/Models/Transformers/Swin Transformer,Methods,Swin Transformer,SwinV2-B | SWin transformer,,,,,,,,Methods/Models/Transformers/Swin Transformer.md
Methods/Models/Transformers/Transformer,Methods,Transformer,The Transformer | Transformer architecture,,,,,,,,Methods/Models/Transformers/Transformer.md
Methods/Models/Transformers/Transformers,Methods,Transformers,,,,,,,,,Methods/Models/Transformers/Transformers.md
Methods/Models/Transformers/Vision Transformer,Methods,Vision Transformer,,,,,,,,,Methods/Models/Transformers/Vision Transformer.md
Methods/Optimizers/AdaGrad,Methods,AdaGrad,Adaptive Gradient,,,,,,,,Methods/Optimizers/AdaGrad.md
Methods/Optimizers/Adam,Methods,Adam,Adaptive Moment Estimation | Adam optimizer,,,,,,,,Methods/Optimizers/Adam.md
Methods/Optimizers/AdaMax,Methods,AdaMax,AdaMax optimizer,,,,,,,,Methods/Optimizers/AdaMax.md
Methods/Optimizers/AdamW,Methods,AdamW,AdamW optimizer,,,,,,,,Methods/Optimizers/AdamW.md
Methods/Optimizers/Optimizers,Methods,Optimizers,Optimization algorithms | Training optimizers,,,,,,,,Methods/Optimizers/Optimizers.md
Methods/Optimizers/Particle Swarm Optimization,Methods,Particle Swarm Optimization,PSO,,,,,,,,Methods/Optimizers/Particle Swarm Optimization.md
Methods/Optimizers/RMSProp,Methods,RMSProp,RMSProp optimizer,,,,,,,,Methods/Optimizers/RMSProp.md
Methods/Optimizers/Stochastic gradient descent,Methods,Stochastic gradient descent,SGD | SGD with momentum | Nesterov momentum,,,,,,,,Methods/Optimizers/Stochastic gradient descent.md
Methods/Synthetic Data Generation/Defect synthesis,Methods,Defect synthesis,Synthetic defect generation | Synthetic anomalies,,,,,,,,Methods/Synthetic Data Generation/Defect synthesis.md
Methods/Synthetic Data Generation/Hybrid Generative-Procedural Synthesis/Hybrid generative-procedural synthesis,Methods,Hybrid generative-procedural synthesis,Hybrid synthetic data generation | Hybrid generative and procedural synthesis | Neuro-procedural data synthesis,,,,,,,,Methods/Synthetic Data Generation/Hybrid Generative-Procedural Synthesis/Hybrid generative-procedural synthesis.md
Methods/Synthetic Data Generation/Hybrid Generative-Procedural Synthesis/RenderGAN,Methods,RenderGAN,RenderGAN synthetic labeled data,,,,,,,,Methods/Synthetic Data Generation/Hybrid Generative-Procedural Synthesis/RenderGAN.md
Methods/Synthetic Data Generation/Hybrid Generative-Procedural Synthesis/SimGAN,Methods,SimGAN,Simulated+Unsupervised learning,,,,,,,,Methods/Synthetic Data Generation/Hybrid Generative-Procedural Synthesis/SimGAN.md
Methods/Synthetic Data Generation/Learned Generative Synthesis/Contrastive unpaired translation,Methods,Contrastive unpaired translation,CUT | Contrastive Unpaired Translation,,,,,,,,Methods/Synthetic Data Generation/Learned Generative Synthesis/Contrastive unpaired translation.md
Methods/Synthetic Data Generation/Learned Generative Synthesis/CycleGAN,Methods,CycleGAN,Cycle-consistent adversarial networks | Cycle-consistent GAN,,,,,,,,Methods/Synthetic Data Generation/Learned Generative Synthesis/CycleGAN.md
Methods/Synthetic Data Generation/Learned Generative Synthesis/DDPM-CSD,Methods,DDPM-CSD,Cross-Scale Diffusion | Cross-Scale Diffusion for steel defect generation,,,,,,,,Methods/Synthetic Data Generation/Learned Generative Synthesis/DDPM-CSD.md
Methods/Synthetic Data Generation/Learned Generative Synthesis/Defect-Gen,Methods,Defect-Gen,Defect Gen | two-stage diffusion-based defect generator,,,,,,,,Methods/Synthetic Data Generation/Learned Generative Synthesis/Defect-Gen.md
Methods/Synthetic Data Generation/Learned Generative Synthesis/Image-mask aligned diffusion synthesis,Methods,Image-mask aligned diffusion synthesis,Alignment-regularized anomaly diffusion | Image-mask alignment regularization,emerging,,,,,,,Methods/Synthetic Data Generation/Learned Generative Synthesis/Image-mask aligned diffusion synthesis.md
Methods/Synthetic Data Generation/Learned Generative Synthesis/Learned generative synthesis,Methods,Learned generative synthesis,ML-generated synthetic data | Model-generated synthetic data,,,,,,,,Methods/Synthetic Data Generation/Learned Generative Synthesis/Learned generative synthesis.md
Methods/Synthetic Data Generation/Learned Generative Synthesis/LoRA-adapted diffusion augmentation,Methods,LoRA-adapted diffusion augmentation,LoRA diffusion augmentation | LoRA-adapted text-to-image augmentation,,,,,,,,Methods/Synthetic Data Generation/Learned Generative Synthesis/LoRA-adapted diffusion augmentation.md
Methods/Synthetic Data Generation/Learned Generative Synthesis/PSGAN,Methods,PSGAN,Periodic spatial GAN | Periodic spatial generative adversarial network,,,,,,,,Methods/Synthetic Data Generation/Learned Generative Synthesis/PSGAN.md
